#{"t_start": 1656948295.0103543, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.042797
5.88266,12,0.051299
14.509843,19,0.06534
19.495251,19,0.07847
12.084913,17,0.090159
26.149255,21,0.105569
1.178534,23,0.121482
5.186188,9,0.127517
11.169609,13,0.136302
10.158914,11,0.144817
7.263808,17,0.156415
33.242541,25,0.173597
5.019993,8,0.179872
7.579284,17,0.191514
8.383802,14,0.201185
5.543091,13,0.210155
2.170623,19,0.223627
45.737424,36,0.248742
34.570038,26,0.2671
6.592415,13,0.276515
5.167783,7,0.281163
13.91775,21,0.295564
-0.555493,27,0.315015
2.917499,10,0.321922
16.60619,22,0.337075
4.364703,8,0.34256
17.917294,21,0.357861
10.682243,15,0.368365
62.23058,40,0.396541
29.79307,24,0.412891
5.876271,10,0.41973
8.143811,11,0.427264
3.243748,7,0.432539
9.345669,14,0.442329
8.589055,25,0.459442
9.999449,14,0.46901
7.898504,17,0.481488
9.860953,13,0.490302
18.937552,19,0.50338
13.604299,18,0.51622
8.560518,12,0.524726
21.724012,21,0.539297
5.151499,9,0.545512
7.873284,13,0.55479
1.404228,26,0.572977
5.750523,10,0.5798
4.794782,28,0.599484
5.817847,9,0.605986
14.913285,22,0.621213
16.169291,33,0.64482
13.95549,14,0.654373
8.3856,16,0.665401
1.737242,18,0.677639
3.720473,19,0.691579
27.900442,26,0.709426
13.385519,22,0.725252
26.694144,26,0.743556
9.666286,11,0.751091
8.083533,14,0.76067
7.113145,9,0.767459
6.856135,17,0.779578
4.293164,14,0.789078
13.086895,28,0.80891
3.012361,28,0.828467
9.677811,15,0.838793
5.25066,8,0.844092
8.851058,33,0.867855
49.738853,34,0.89174
44.284808,42,0.920958
6.172439,18,0.933892
9.377362,11,0.941585
14.76355,16,0.952562
13.013588,14,0.962063
11.567268,12,0.970206
6.97056,11,0.97876
7.067539,9,0.984997
18.508797,40,1.013029
24.197033,30,1.03413
60.829511,43,1.064811
18.96246,19,1.077774
9.873816,21,1.092299
10.531013,17,1.104947
16.707367,28,1.12414
6.328913,17,1.135746
9.767934,15,1.147022
38.815001,28,1.166269
9.610682,14,1.175794
9.971758,19,1.189801
7.302068,12,1.198092
16.700972,22,1.213131
12.386839,28,1.233181
8.725301,12,1.241518
11.413554,25,1.258707
16.751946,21,1.274068
27.011509,29,1.294114
17.47441,30,1.315477
9.44978,21,1.329854
8.284631,10,1.336532
10.551772,18,1.34965
34.860913,40,1.377517
16.080124,17,1.389852
8.974901,17,1.401925
5.059729,9,1.408093
8.899819,12,1.416255
13.479475,16,1.427196
7.489611,11,1.435377
7.7236,11,1.443164
13.461576,14,1.45272
5.046785,9,1.656088
76.294854,44,1.6875
96.9866,55,1.726146
6.801598,10,1.733282
9.097654,13,1.742232
54.390695,36,1.767527
8.772419,12,1.77625
5.818711,13,1.785221
7.444219,11,1.79304
63.720128,36,1.81881
4.94825,8,1.824164
7.860723,10,1.830932
22.786161,23,1.847316
81.117645,58,1.888305
30.394568,27,1.907266
25.628055,45,1.939519
10.130472,23,1.95554
7.854344,10,1.962539
74.225007,46,1.995191
7.784763,18,2.008005
19.782246,19,2.022538
25.62465,32,2.054513
14.489889,15,2.06937
115.987972,56,2.11385
25.936828,25,2.131584
11.903157,12,2.140417
8.191551,18,2.153524
18.856329,23,2.169745
24.404716,25,2.188388
56.874943,33,2.211471
30.37512,29,2.232662
8.107285,20,2.24681
