#{"t_start": 1656951537.11283, "env_id": "CustomHopper-target-v0"}
r,l,t
101.866308,57,8.328162
298.720588,139,16.559111
324.051109,152,24.742081
363.562025,166,32.976545
1068.653198,500,41.34492
1123.317652,366,49.647684
1234.991733,500,58.010841
544.811001,225,66.276725
1198.035907,500,74.628896
1507.030863,500,83.024109
1249.123194,383,91.353341
1123.393959,500,99.780559
554.474559,196,108.014946
929.770013,291,116.299153
1527.17083,500,124.661306
1425.087393,500,133.046052
1172.080616,347,141.318834
880.557633,283,149.531844
1137.256831,500,157.912643
1264.274349,500,166.282232
1281.273449,428,174.626277
889.469099,290,182.869694
1149.438953,347,191.131341
701.39832,235,199.401445
810.739438,249,207.603237
960.921714,282,215.840818
1502.224041,454,224.134828
1171.419551,365,232.435891
1173.116625,378,240.759705
999.020069,296,249.054935
863.307007,262,257.305893
967.902373,298,265.6021
1524.73992,500,273.972947
1156.786297,410,282.304969
1478.028949,500,290.661411
1451.572884,500,299.035942
1376.11779,500,307.354328
1347.646937,408,315.66056
1497.32574,500,323.983648
1474.848098,500,332.316649
1579.778206,500,340.705635
1601.025213,500,349.095817
1606.195091,500,357.437255
1597.53448,500,365.828453
1156.692109,340,374.12539
1582.075369,500,382.580555
1533.133556,500,390.934989
1585.908463,500,399.301754
1146.081489,337,407.582599
1258.228745,370,415.909906
