modelname,init_runs,steps,learning_rate,intrain_reward,averagereward,stdev
to_test/trpo_bayrn_model,5,20000,0.001,1464.8222609669028,1410.4671170225577,1.8925658274293404
to_test/trpo_bayrn_model,10,10000,0.001,1175.2593798029372,1619.7343307453102,5.900412886150456
to_test/trpo_bayrn_model,10,20000,0.01,1438.1358732604408,1401.8124113426354,8.152657441383882
to_test/trpo_bayrn_model,5,5000,0.001,1464.4513474341738,1442.8480193184732,25.710369131453145
to_test/trpo_bayrn_model,5,5000,0.01,1594.0253166720365,1563.4232263391903,21.258095587455017
to_test/trpo_bayrn_model,10,5000,0.001,1417.693560277699,1339.5866194805897,2.9917367440998754
to_test/trpo_bayrn_model,5,20000,0.01,1525.576091981833,894.1481787233301,387.34960961210066
to_test/trpo_bayrn_model,5,10000,0.001,1136.619223366004,1421.193380587534,156.96906178560963
to_test/trpo_bayrn_model,10,5000,0.01,1293.3662845043843,1269.5244393544117,48.23491587682539
to_test/trpo_bayrn_model,10,10000,0.01,1212.8591518306846,1589.7184699099514,6.6975468792009565
to_test/trpo_bayrn_model,10,20000,0.001,1390.7644776882157,1336.0119385141052,14.5358304084892
to_test/trpo_bayrn_model,5,10000,0.01,1663.7810252014228,1536.31443897533,74.60362228343054
